"","row.ID","Study.ID","Intervention.Mean","Intervention.SD","Intervention.N","Control.Mean","Control.SD","Control.N","dval","tval","pval","sign","yi","vi"
"1",1,"BURNHAM-2002",NA,NA,14,NA,NA,7,-0.9,NA,NA,NA,-0.864,0.232059428571429
"2",2,"COHEN-2004",NA,NA,16,NA,NA,14,0.03659625273557,0.1,NA,1,0.0356071648237978,0.133949702598351
"3",3,"COURNEYA-2003A",43.81,12,51,44.34,8.98,45,NA,NA,NA,NA,-0.0491679941334729,0.0418426564618058
"4",4,"COURNEYA-2009",16.5,5.2,60,16.2,5.2,62,NA,NA,NA,NA,0.0573308520276301,0.0328091695255271
"5",5,"CULOS-REED-2006",NA,NA,18,NA,NA,18,-0.68,-2.04,NA,NA,-0.664888888888889,0.117251072702332
"6",6,"MEHNERT-2011",4.83,3.46,30,7.14,4.97,28,NA,NA,NA,NA,-0.535523861123909,0.0715199104772144
"7",7,"PINTO-2003",NA,NA,12,NA,NA,6,-0.46,NA,NA,NA,-0.438095238095238,0.25533131771227
"8",8,"SEGAR-1998",NA,NA,10,NA,NA,5,-2.88649787805223,-5.27,NA,NA,-2.71670388522562,0.546016
